,county,auto.cbp,auto.cbp.pct,NiCu.Mine.cbp,NiCu.Mine.cbp.pct,CoMn.Mine.cbp,CoMn.Mine.cbp.pct,NiCuCo.Prod.cbp,NiCuCo.Prod.cbp.pct,Li.Prod.cbp,Li.Prod.cbp.pct,Graphite.Prod.cbp,Graphite.Prod.cbp.pct
237,8041,590.2782363,0.000495775,0,0,0,0,0,0,0,0,0,0
238,8043,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,10.93890628,0.002391418
239,8045,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
240,8047,0,0,0,0,0,0,0,0,0,0,0,0
241,8049,0,0,0,0,0,0,0,0,0,0,0,0
242,8051,0,0,0,0,0,0,0,0,0,0,0,0
243,8053,0,0,0,0,0,0,0,0,0,0,0,0
244,8055,0,0,0,0,0,0,0,0,0,0,0,0
245,8057,0,0,0,0,0,0,0,0,0,0,0,0
246,8059,690.6063724,0.00058004,0,0,0,0,0,0,0,0,0,0
247,8061,0,0,0,0,0,0,0,0,0,0,0,0
248,8063,0,0,0,0,0,0,0,0,0,0,0,0
249,8065,0,0,0,0,0,0,0,0,0,0,0,0
250,8067,0,0,0,0,0,0,0,0,0,0,0,0
251,8069,482.6250199,0.000405357,0,0,0,0,0,0,0,0,0,0
252,8071,0,0,0,0,0,0,0,0,0,0,0,0
253,8073,0,0,0,0,0,0,0,0,0,0,0,0
254,8075,0,0,0,0,0,0,0,0,0,0,0,0
255,8077,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
256,8079,0,0,0,0,0,0,0,0,0,0,0,0
257,8081,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
258,8083,0,0,0,0,0,0,0,0,0,0,0,0
259,8085,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
260,8087,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
261,8089,0,0,0,0,0,0,0,0,0,0,0,0
262,8091,0,0,0,0,0,0,0,0,0,0,0,0
263,8093,0,0,0,0,0,0,0,0,0,0,0,0
264,8095,0,0,0,0,0,0,0,0,0,0,0,0
265,8097,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
266,8099,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
267,8101,536.3551916,0.000450485,0,0,0,0,0,0,0,0,10.93890628,0.002391418
268,8103,0,0,0,0,0,0,0,0,0,0,0,0
269,8105,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
270,8107,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
271,8109,0,0,0,0,0,0,0,0,0,0,0,0
272,8111,0,0,0,0,0,0,0,0,0,0,0,0
273,8113,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
274,8115,0,0,0,0,0,0,0,0,0,0,0,0
275,8117,0,0,0,0,0,0,0,0,0,0,0,0
276,8119,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,10.93890628,0.002391418
277,8121,0,0,0,0,0,0,0,0,0,0,0,0
278,8123,374.8353663,0.000314824,0,0,0,0,0,0,0,0,0,0
279,8125,0,0,0,0,0,0,0,0,0,0,0,0
280,9001,1377.755625,0.001157177,0,0,0,0,0,0,0,0,0,0
281,9003,1726.438095,0.001450036,0,0,0,0,0,0,0,0,0,0
282,9005,1270.465161,0.001067064,0,0,0,0,0,0,0,0,0,0
283,9007,879.5957659,0.000738773,0,0,0,0,0,0,0,0,0,0
284,9009,1943.682784,0.001632499,0,0,0,0,0,0,0,0,0,0
285,9011,166.6096389,0.000139935,0,0,0,0,0,0,0,0,0,0
286,9013,52.88477576,4.44E-05,0,0,0,0,0,0,0,0,0,0
287,9015,176.6436673,0.000148363,0,0,0,0,0,0,0,0,0,0
288,10001,229.7790471,0.000192991,0,0,0,0,0,0,0,0,0,0
289,10003,796.4380954,0.000668928,0,0,0,0,0,0,0,0,20.97293474,0.004585016
290,10005,180.7556251,0.000151817,0,0,0,0,0,0,0,0,0,0
291,11001,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,20.97293474,0.004585016
292,12001,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
293,12003,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
294,12005,0,0,0,0,0,0,0,0,0,0,0,0
295,12007,0,0,0,0,0,0,0,0,0,0,0,0
296,12009,205.5028324,0.000172602,0,0,0,0,0,0,0,0,0,0
297,12011,1075.58627,0.000903385,0,0,0,0,0,0,0,0,0,0
298,12013,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
299,12015,32.81671884,2.76E-05,0,0,0,0,0,0,0,0,0,0
300,12017,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,10.93890628,0.002391418
301,12019,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
302,12021,64.72855985,5.44E-05,0,0,0,0,0,0,0,0,0,0
303,12023,0,0,0,0,0,0,0,0,0,0,0,0
304,12086,1844.12202,0.001548878,0,0,0,0,0,0,0,0,0,0
305,12027,0,0,0,0,0,0,0,0,0,0,0,0
306,12029,0,0,0,0,0,0,0,0,0,0,0,0
307,12031,638.3089448,0.000536116,0,0,0,0,0,0,0,0,10.93890628,0.002391418
308,12033,250.7519818,0.000210607,0,0,0,0,0,0,0,0,0,0
309,12035,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
310,12037,0,0,0,0,0,0,0,0,0,0,0,0
311,12039,0,0,0,0,0,0,0,0,0,0,0,0
312,12041,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
313,12043,0,0,0,0,0,0,0,0,0,0,0,0
314,12045,0,0,0,0,0,0,0,0,0,0,0,0
315,12047,0,0,0,0,0,0,0,0,0,0,0,0
316,12049,0,0,0,0,0,0,0,0,0,0,0,0
317,12051,0,0,0,0,0,0,0,0,0,0,0,0
318,12053,77.83536629,6.54E-05,0,0,0,0,0,0,0,0,0,0
319,12055,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
320,12057,409.4827304,0.000343925,0,0,0,0,0,0,0,0,10.93890628,0.002391418
321,12059,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
322,12061,42.8507473,3.60E-05,0,0,0,0,0,0,0,0,10.93890628,0.002391418
323,12063,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
324,12065,0,0,0,0,0,0,0,0,0,0,0,0
325,12067,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
326,12069,143.8507473,0.00012082,0,0,0,0,0,0,0,0,0,0
327,12071,86.66746613,7.28E-05,0,0,0,0,0,0,0,0,0,0
328,12073,52.88477576,4.44E-05,0,0,0,0,0,0,0,0,0,0
329,12075,0,0,0,0,0,0,0,0,0,0,0,0
330,12077,0,0,0,0,0,0,0,0,0,0,0,0
331,12079,0,0,0,0,0,0,0,0,0,0,0,0
332,12081,401.6744293,0.000337366,0,0,0,0,0,0,0,0,0,0
333,12083,488.7285599,0.000410483,0,0,0,0,0,0,0,0,0,0
334,12085,96.64040087,8.12E-05,0,0,0,0,0,0,0,0,0,0
335,12087,31.91184102,2.68E-05,0,0,0,0,0,0,0,0,0,0
336,12089,0,0,0,0,0,0,0,0,0,0,0,0
337,12091,31.91184102,2.68E-05,0,0,0,0,0,0,0,0,0,0
338,12093,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
339,12095,995.9121545,0.000836467,0,0,0,0,0,0,0,0,0,0
340,12097,261.6908881,0.000219794,0,0,0,0,0,0,0,0,0,0
341,12099,370.6133356,0.000311278,0,0,0,0,0,0,0,0,0,0
342,12101,205.6674661,0.00017274,0,0,0,0,0,0,0,0,0,0
343,12103,915.2332041,0.000768704,0,0,0,0,0,0,0,0,0,0
344,12105,521.6297944,0.000438117,0,0,0,0,0,0,0,0,10.93890628,0.002391418
345,12107,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
346,12109,43.75562511,3.68E-05,0,0,0,0,0,0,0,0,0,0
347,12111,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
348,12113,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
349,12115,1315.884776,0.001105212,0,0,0,0,0,0,0,0,0,0
350,12117,272.7201421,0.000229058,0,0,0,0,0,0,0,0,0,0
351,12119,31.91184102,2.68E-05,0,0,0,0,0,0,0,0,0,0
352,12121,0,0,0,0,0,0,0,0,0,0,0,0
353,12123,0,0,0,0,0,0,0,0,0,0,0,0
354,12125,0,0,0,0,0,0,0,0,0,0,0,0
355,12127,445.6250199,0.000374281,0,0,0,0,0,0,0,0,0,0
356,12129,0,0,0,0,0,0,0,0,0,0,0,0
357,12131,0,0,0,0,0,0,0,0,0,0,0,0
358,12133,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
359,13001,0,0,0,0,0,0,0,0,0,0,0,0
360,13003,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
361,13005,0,0,0,0,0,0,0,0,0,0,0,0
362,13007,0,0,0,0,0,0,0,0,0,0,0,0
363,13009,0,0,0,0,0,0,0,0,0,0,0,0
364,13011,0,0,0,0,0,0,0,0,0,0,0,0
365,13013,109.7472073,9.22E-05,0,0,0,0,0,0,0,0,0,0
366,13015,2231.249016,0.001874026,0,0,0,0,0,0,0,0,0,0
367,13017,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
368,13019,0,0,0,0,0,0,0,0,0,0,0,0
369,13021,251.6568597,0.000211367,0,0,0,0,0,0,0,0,20.97293474,0.004585016
370,13023,0,0,0,0,0,0,0,0,0,0,0,0
371,13025,0,0,0,0,0,0,0,0,0,0,0,0
